Data Set Name,Display Name,Code,Schema,Table Name,Column Name,Field Type
Agency,Agency 911 EMS Call Center Volume Per Year (dAgency.18),dAgency.18,DwEms,Dim_AgencyYearGroup,Agency_911_EMS_Call_Center_Volume_Per_Year,Number
Agency,Agency 911 EMS Call Center Volume Per Year Invalid (dAgency.18),dAgency.18,DwEms,Dim_AgencyYearGroup,Agency_911_EMS_Call_Center_Volume_Per_Year_Invalid,Number
Agency,Agency 911 EMS Call Center Volume Per Year With Not Values (dAgency.18),dAgency.18,DwEms,Dim_AgencyYearGroup,Agency_911_EMS_Call_Center_Volume_Per_Year_With_Not_Values,Text
Agency,Agency Active Status,,DwEms,Dim_Agency,Agency_Active_Status,Boolean
Agency,Agency Annual 911 EMS Call Center Volume Range (dAgency.18),dAgency.18,DwEms,Dim_AgencyYearGroup,Agency_Annual_911_EMS_Call_Center_Volume_Range,Text
Agency,Agency Annual 911 EMS Call Center Volume Range Sort Order (dAgency.18),dAgency.18,DwEms,Dim_AgencyYearGroup,Agency_Annual_911_EMS_Call_Center_Volume_Range_Sort_Order,Number
Agency,Agency Annual EMS Billable Calls Range (dAgency.22),dAgency.22,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Billable_Calls_Range,Text
Agency,Agency Annual EMS Billable Calls Range Sort Order (dAgency.22),dAgency.22,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Billable_Calls_Range_Sort_Order,Number
Agency,Agency Annual EMS Dispatch Volume Range (dAgency.19),dAgency.19,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Dispatch_Volume_Range,Text
Agency,Agency Annual EMS Dispatch Volume Range Sort Order (dAgency.19),dAgency.19,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Dispatch_Volume_Range_Sort_Order,Number
Agency,Agency Annual EMS Patient Contact Volume Range (dAgency.21),dAgency.21,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Patient_Contact_Volume_Range,Text
Agency,Agency Annual EMS Patient Contact Volume Range Sort Order (dAgency.21),dAgency.21,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Patient_Contact_Volume_Range_Sort_Order,Number
Agency,Agency Annual EMS Patient Transport Volume Range (dAgency.20),dAgency.20,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Patient_Transport_Volume_Range,Text
Agency,Agency Annual EMS Patient Transport Volume Range Sort Order (dAgency.20),dAgency.20,DwEms,Dim_AgencyYearGroup,Agency_Annual_EMS_Patient_Transport_Volume_Range_Sort_Order,Number
Agency,Agency Calendar Year (dAgency.15),dAgency.15,DwEms,Dim_AgencyYearGroup,Agency_Calendar_Year,Text
Agency,Agency Calendar Year Invalid (dAgency.15),dAgency.15,DwEms,Dim_AgencyYearGroup,Agency_Calendar_Year_Invalid,Text
Agency,Agency Contact Active Flag,,DwEms,Dim_AgencyContact,AgencyContact_Active_Flag,Boolean
Agency,Agency Contact Active Status,,DwEms,Dim_Personnel,Personnel_Active_Status,Boolean
Agency,Agency Contact City Of Residence (dContact.06),dContact.06,DwEms,Dim_Personnel,Personnel_City_Of_Residence,Text
Agency,Agency Contact Country (dContact.09),dContact.09,DwEms,Dim_Personnel,Personnel_Country,Text
Agency,Agency Contact EMS Medical Director Fellowship Trained Status (dContact.16),dContact.16,DwEms,Dim_AgencyContact,AgencyContact_EMS_Medical_Director_Fellowship_Trained_Status,Text
Agency,Agency Contact Fax Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Fax_Number,Text
Agency,Agency Contact First Name (dContact.03),dContact.03,DwEms,Dim_Personnel,Personnel_First_Name,Text
Agency,Agency Contact Full Name,,DwEms,Dim_Personnel,Personnel_Full_Name,Text
Agency,Agency Contact Home Phone Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Home_Phone_Number,Text
Agency,Agency Contact Last Name (dContact.02),dContact.02,DwEms,Dim_Personnel,Personnel_Last_Name,Text
Agency,Agency Contact Mailing Address (dContact.05),dContact.05,DwEms,Dim_Personnel,Personnel_Mailing_Address,Text
Agency,Agency Contact Mailing Address2 (dContact.05),dContact.05,DwEms,Dim_Personnel,Personnel_Mailing_Address2,Text
Agency,Agency Contact Medical Director Certification Type (dContact.14),dContact.14,DwEms,Dim_AgencyContact_Medical_Director_Board_Certification,AgencyContact_Medical_Director_Certification_Type,Text
Agency,Agency Contact Medical Director Compensation (dContact.15),dContact.15,DwEms,Dim_AgencyContact,AgencyContact_Medical_Director_Compensation,Text
Agency,Agency Contact Medical Director Degree (dContact.13),dContact.13,DwEms,Dim_AgencyContact,AgencyContact_Medical_Director_Degree,Text
Agency,Agency Contact Middle Name Initial (dContact.04),dContact.04,DwEms,Dim_Personnel,Personnel_Middle_Name_Initial,Text
Agency,Agency Contact Mobile Phone Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Mobile_Phone_Number,Text
Agency,Agency Contact Pager Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Pager_Number,Text
Agency,Agency Contact Personal Email Address (dContact.11),dContact.11,DwEms,Dim_Personnel,Personnel_Personal_Email_Address,Text
Agency,Agency Contact Postal Code (dContact.08),dContact.08,DwEms,Dim_Personnel,Personnel_Postal_Code,Text
Agency,Agency Contact Primary Email Address (dContact.11),dContact.11,DwEms,Dim_Personnel,Personnel_Primary_Email_Address,Text
Agency,Agency Contact Primary Phone Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Primary_Phone_Number,Text
Agency,Agency Contact State (dContact.07),dContact.07,DwEms,Dim_Personnel,Personnel_State,Text
Agency,Agency Contact Website Address (dContact.12),dContact.12,DwEms,Dim_Personnel,Personnel_Website_Address,Text
Agency,Agency Contact Work Email Address (dContact.11),dContact.11,DwEms,Dim_Personnel,Personnel_Work_Email_Address,Text
Agency,Agency Contact Work Phone Number (dContact.10),dContact.10,DwEms,Dim_Personnel,Personnel_Work_Phone_Number,Text
Agency,Agency County Population 2010,,DwEms,Dim_Agency,Agency_County_Population_2010,Number
